bairro,logradouro,venda_itbi_rs_m2,venal_iptu_rs_m2,premio_mercado,n_vendas,n_imoveis_iptu
JAR SAO PEDRO,AVENIDA MARQUES DE SOUZA,4108,2020,2.03,7,58
JAR SAO PEDRO,RUA TUPINAMBA,4037,1538,2.62,32,187
JAR SAO PEDRO,RUA ENES BANDEIRA,4022,1488,2.7,26,113
JAR SAO PEDRO,RUA ITARARE,3960,2384,1.66,16,61
JAR SAO PEDRO,RUA DA VARZEA,3902,2529,1.54,15,60
JAR SAO PEDRO,RUA ENG RYFF,3746,1601,2.34,4,57
JAR SAO PEDRO,AVENIDA PAUL ZIVI,3676,2935,1.25,3,9
JAR SAO PEDRO,RUA BARAO DE ITAQUI,3659,1794,2.04,9,93
JAR SAO PEDRO,RUA JURUA,3610,2800,1.29,31,271
JAR SAO PEDRO,RUA CATAO ROXO,3432,2734,1.26,3,29
JAR SAO PEDRO,RUA PEREIRA PINTO,3279,2753,1.19,12,90
JAR SAO PEDRO,RUA PADRE HENRIQUE LENZ,3166,2938,1.08,6,33
JAR SAO PEDRO,AVENIDA ASSIS BRASIL,3151,1679,1.88,12,81
JAR SAO PEDRO,RUA DOMINGOS MARTINS,3112,2903,1.07,13,47
JAR SAO PEDRO,AVENIDA CARNEIRO DA FONTOURA,2796,2805,1.0,10,119
JAR SAO PEDRO,RUA JORGE SALIS GOULART,2792,2682,1.04,3,38
JAR SAO PEDRO,RUA COMENDADOR DUVAL,2750,2615,1.05,3,13
JARDIM BOTANICO,RUA FELIZARDO,8318,3261,2.55,27,274
JARDIM BOTANICO,RUA OITO DE JULHO,8247,3345,2.47,83,220
JARDIM BOTANICO,RUA SAICA,7884,4371,1.8,24,55
JARDIM BOTANICO,TRAVESSA VILETA,7721,3676,2.1,38,147
JARDIM BOTANICO,RUA CERVANTES,6970,3586,1.94,19,112
JARDIM BOTANICO,RUA MACHADO DE ASSIS,6955,4002,1.74,29,203
JARDIM BOTANICO,RUA PEDRO PIERETTI,6414,2969,2.16,14,32
JARDIM BOTANICO,RUA CHILE,6400,2685,2.38,78,485
JARDIM BOTANICO,RUA PROF FREITAS CABRAL,6377,3171,2.01,55,291
JARDIM BOTANICO,RUA VERISSIMO ROSA,6262,3997,1.57,16,110
JARDIM BOTANICO,RUA JACOB VONTOBEL,6215,3259,1.91,29,108
JARDIM BOTANICO,RUA GUARAJA,5828,2190,2.66,7,45
JARDIM BOTANICO,RUA ISIDORO TRESSI,5802,3293,1.76,21,177
JARDIM BOTANICO,RUA AFONSO RODRIGUES,5609,3019,1.86,33,184
JARDIM BOTANICO,RUA DONA INOCENCIA,5327,2848,1.87,18,129
JARDIM BOTANICO,RUA BUENOS AIRES,5151,2907,1.77,62,452
JARDIM BOTANICO,RUA LA PLATA,5117,3020,1.69,25,269
JARDIM BOTANICO,RUA ITABORAI,5108,3082,1.66,114,820
JARDIM BOTANICO,RUA VALPARAISO,4833,2735,1.77,39,412
JARDIM BOTANICO,RUA GUILHERME ALVES,4506,1833,2.46,70,518
JARDIM BOTANICO,RUA SURUPA,4452,2026,2.2,14,154
JARDIM BOTANICO,RUA DR SALVADOR FRANCA,4343,1800,2.41,32,198
JARDIM BOTANICO,RUA GONCALVES LEDO,4207,2144,1.96,8,65
JARDIM BOTANICO,RUA BARAO DO AMAZONAS,4122,1810,2.28,84,483
JARDIM BOTANICO,TRAVESSA SERAFIM TERRA,4064,1893,2.15,35,150
JARDIM BOTANICO,RUA SIEGFRIED GUNTHER FISCHER,3947,3733,1.06,3,59
JARDIM BOTANICO,RUA ROQUE GONZALES,3807,2095,1.82,11,153
JARDIM BOTANICO,AVENIDA IPIRANGA,3626,2576,1.41,20,108
JARDIM BOTANICO,RUA JOAO DE CASTILHO,3497,1740,2.01,5,47
JARDIM BOTANICO,RUA ODILA GAY DA FONSECA,3466,2199,1.58,6,36
JARDIM BOTANICO,RUA PROF CRISTIANO FISCHER,2278,3747,0.61,3,16
JARDIM CARVALHO,RUA GRALHA AZUL,6796,2451,2.77,47,177
JARDIM CARVALHO,RUA ATTILIO BILIBIO,6489,3612,1.8,197,507
JARDIM CARVALHO,AVENIDA IPIRANGA,5625,2648,2.12,93,535
JARDIM CARVALHO,AVENIDA ANTONIO CARVALHO,5391,1930,2.79,353,2045
JARDIM CARVALHO,RUA IRMAO NORBERTO FRANCISCO RAUCH,4919,2869,1.71,361,990
JARDIM CARVALHO,RUA CARLOS REVERBEL,4887,3411,1.43,73,562
JARDIM CARVALHO,AVENIDA PROTASIO ALVES,4663,2244,2.08,47,628
JARDIM CARVALHO,RUA ABRAM GOLDSZTEIN,4633,2778,1.67,68,488
JARDIM CARVALHO,BECO DO CARVALHO,4006,1364,2.94,4,75
JARDIM CARVALHO,RUA BOM PRINCIPIO,3277,1907,1.72,4,69
JARDIM CARVALHO,RUA DR AGOSTINHO BRAUL,3064,1301,2.36,7,77
JARDIM CARVALHO,RUA ERNESTO DORNELLES,2870,1591,1.8,6,54
JARDIM CARVALHO,RUA ALBERTO NEPOMUCENO,2614,1779,1.47,4,24
JARDIM CARVALHO,RUA JOSE MADRID,2588,1399,1.85,3,42
JARDIM CARVALHO,RUA PODALIRIO JOAO DA ROCHA,2371,1643,1.44,3,29
JARDIM CARVALHO,AVENIDA SARGENTO MANOEL RAYMUNDO SOARES,2334,1657,1.41,7,101
JARDIM CARVALHO,RUA COMENDADOR EDUARDO SECCO,1843,1240,1.49,28,289
JARDIM DO SALSO,RUA SAO MATEUS,11266,2641,4.27,264,298
JARDIM DO SALSO,RUA JOSE ALBANO VOLKMER,9737,5754,1.69,27,266
JARDIM DO SALSO,RUA SAO JOSEMARIA ESCRIVA,9569,5542,1.73,249,745
JARDIM DO SALSO,RUA NICOLA MATHIAS FALCI,9397,5623,1.67,83,498
JARDIM DO SALSO,RUA JAYR AMAURY KOEBE,8944,3508,2.55,198,229
JARDIM DO SALSO,RUA ALDO MENOTTI SIRANGELO,7960,2704,2.94,23,89
JARDIM DO SALSO,RUA ANERON CORREA DE OLIVEIRA,5962,2691,2.22,14,77
JARDIM DO SALSO,RUA PROF CRISTIANO FISCHER,5530,2965,1.87,39,274
JARDIM DO SALSO,RUA PROF GASTAO DIAS DE CASTRO,5201,2444,2.13,8,22
JARDIM DO SALSO,RUA SAO LUCAS,4406,2039,2.16,4,66
JARDIM DO SALSO,RUA GRACILIANO RAMOS,4043,1473,2.74,8,22
JARDIM DO SALSO,RUA PROF ABILIO AZAMBUJA,3997,1839,2.17,13,106
JARDIM DO SALSO,RUA SAO SIMAO,3980,1279,3.11,10,94
JARDIM DO SALSO,AVENIDA IPIRANGA,3697,1670,2.21,26,155
JARDIM DO SALSO,RUA LUIZ CARLOS S CORREA,3518,1255,2.8,6,27
JARDIM DO SALSO,RUA NEY MESSIAS,3493,2544,1.37,4,32
JARDIM DO SALSO,RUA DR AFFONSO SANMARTIN,3331,2256,1.48,18,122
JARDIM DO SALSO,RUA ANGELO CRIVELLARO,3137,1612,1.95,92,574
JARDIM DO SALSO,RUA PROFESSOR PEDRO SANTA HELENA,3008,2108,1.43,12,120
JARDIM DO SALSO,RUA WALDOMIRO SOUZA,2934,1191,2.46,14,76
JARDIM DO SALSO,RUA SAO BENEDITO,2815,1472,1.91,14,108
JARDIM EUROPA,RUA DR HELMUTH WEINMANN,17492,6387,2.74,13,57
JARDIM EUROPA,RUA IVESCIO PACHECO,16185,8373,1.93,44,64
JARDIM EUROPA,AVENIDA ENG ARY DE ABREU LIMA,14748,6452,2.29,27,128
JARDIM EUROPA,AVENIDA VERISSIMO DE AMARAL,13840,4644,2.98,69,217
JARDIM EUROPA,AVENIDA FERDINAND KISSLINGER,12979,5965,2.18,52,170
JARDIM EUROPA,RUA DR JOAO SATT,12833,5355,2.4,21,144
JARDIM EUROPA,RUA CARLOS CONTURSI,12129,5799,2.09,8,72
JARDIM EUROPA,RUA DR DARIO DE BITTENCOURT,12102,5820,2.08,29,144
JARDIM EUROPA,AVENIDA TULIO DE ROSE,11979,5427,2.21,83,608
JARDIM EUROPA,RUA CIPO,5557,2397,2.32,6,32
JARDIM EUROPA,RUA CIDADE DE UBERLANDIA,5344,1739,3.07,5,57
JARDIM EUROPA,RUA PADRE ALOIS KADES S J,4723,2434,1.94,23,113
JARDIM FLORESTA,RUA DIAMANTINA,5429,2414,2.25,5,49
JARDIM FLORESTA,RUA EDMUNDO BASTIAN,4566,4164,1.1,5,90
JARDIM FLORESTA,RUA OURO PRETO,4325,2743,1.58,25,76
JARDIM FLORESTA,RUA DR DEOCLECIO PEREIRA,3607,2011,1.79,10,118
JARDIM FLORESTA,RUA PEDRO LESSA,3275,1484,2.21,5,43
JARDIM FLORESTA,RUA COMENDADOR DUVAL,3245,2189,1.48,8,39
JARDIM FLORESTA,RUA AVARE,2813,2345,1.2,3,54
JARDIM ISABEL,RUA CEL JOAO LEITE FILHO,5118,3445,1.49,3,14
JARDIM ISABEL,RUA PROF CARLOS DE PAULA COUTO,4957,3118,1.59,3,18
JARDIM ISABEL,RUA PORTO CALVO,4432,2718,1.63,15,126
JARDIM ISABEL,TRAVESSA PEDRA REDONDA,3872,3203,1.21,13,66
