bairro,logradouro,venda_itbi_rs_m2,venal_iptu_rs_m2,premio_mercado,n_vendas,n_imoveis_iptu
MORRO SANTANA,AVENIDA ANTONIO GIUDICE,4397,3059,1.44,17,317
MORRO SANTANA,BECO SOUZA COSTA,4369,2547,1.72,58,356
MORRO SANTANA,AVENIDA GERMANO SCHMARCZEK,4359,2548,1.71,65,300
MORRO SANTANA,RUA MADRE MARIA SELIMA,4090,1886,2.17,5,31
MORRO SANTANA,AVENIDA MARIO MENEGHETTI,3997,2054,1.95,8,176
MORRO SANTANA,RUA DR JOSE BENTO CORREA,3939,2584,1.52,43,308
MORRO SANTANA,RUA NEY DA GAMA AHRENDS,3921,1649,2.38,107,567
MORRO SANTANA,RUA TEN ARY TARRAGO,3745,1925,1.95,8,62
MORRO SANTANA,AVENIDA EMILIO SCHLABITZ NETO,3667,2096,1.75,11,28
MORRO SANTANA,RUA MARIO DE LIMA HORNES,3632,1349,2.69,5,48
MORRO SANTANA,RUA ERNESTO ZAMPROGNA,3552,1315,2.7,39,162
MORRO SANTANA,RUA ESPIR RIVALDO,3478,1343,2.59,7,160
MORRO SANTANA,RUA EVA LACI CAMARGO MARTINS,3364,1402,2.4,31,192
MORRO SANTANA,AVENIDA MAE APOLINARIA MATIAS BATISTA,3338,1446,2.31,18,196
MORRO SANTANA,RUA AMADEU F DE OLIVEIRA FREITAS,3265,1352,2.41,40,232
MORRO SANTANA,RUA HUGO LIVI,3254,1528,2.13,37,252
MORRO SANTANA,AVENIDA RACHEL WOLFRID,3243,1998,1.62,4,27
MORRO SANTANA,RUA JOSE CARLOS BATISTA DOS SANTOS,3191,1511,2.11,3,16
MORRO SANTANA,RUA JOSE LEWGOY,3123,1862,1.68,4,35
MORRO SANTANA,RUA LUIS LEDERMAN,3123,1480,2.11,53,378
MORRO SANTANA,RUA PADRE MAXIMO COGHETTO,3097,1366,2.27,27,182
MORRO SANTANA,RUA MARIETA MENNA BARRETO,3083,1349,2.29,35,220
MORRO SANTANA,RUA SYLVIO TORRES,2641,1707,1.55,6,53
MORRO SANTANA,RUA ALMIRO COIMBRA,2506,1578,1.59,5,27
MORRO SANTANA,RUA EMILIO OTTO,2407,1695,1.42,5,12
MORRO SANTANA,AVENIDA NILO RUSCHEL,2098,1969,1.07,22,143
MORRO SANTANA,RUA CARLOS BELINZONI,1893,1618,1.17,3,33
NAVEGANTES,AVENIDA CEARA,15645,2055,7.61,3,39
NAVEGANTES,RUA BEIRUTE,10345,2754,3.76,3,36
NAVEGANTES,RUA DR JOAO INACIO,5160,4478,1.15,39,236
NAVEGANTES,AVENIDA BAHIA,4014,1898,2.11,4,35
NAVEGANTES,AVENIDA FRANCA,3627,1967,1.84,19,148
NAVEGANTES,AVENIDA PRESIDENTE FRANKLIN ROOSEVELT,3281,1869,1.76,11,67
NAVEGANTES,RUA CAIRU,3115,1847,1.69,47,310
NAVEGANTES,RUA ARABUTAN,3087,2117,1.46,16,86
NAVEGANTES,RUA DEZOITO DE NOVEMBRO,2907,1660,1.75,3,8
NAVEGANTES,AVENIDA PERNAMBUCO,2878,1788,1.61,17,109
NAVEGANTES,RUA PADRE DIOGO FEIJO,2865,1871,1.53,8,34
NAVEGANTES,AVENIDA SERTORIO,2772,1739,1.59,9,153
NAVEGANTES,AVENIDA FARRAPOS,2727,1672,1.63,16,125
NAVEGANTES,RUA DONA MARGARIDA,2664,2757,0.97,6,43
NAVEGANTES,AVENIDA BRASIL,2647,2173,1.22,8,63
NAVEGANTES,RUA FREDERICO MENTZ,2500,2733,0.91,5,35
NAVEGANTES,RUA SANTOS PEDROSO,2138,2713,0.79,4,23
NAVEGANTES,RUA VINTE CINCO DE FEVEREIRO,1997,1924,1.04,5,6
NONOAI,RUA DARIO TOTTA,6497,3296,1.97,88,331
NONOAI,RUA FREDERICO ETZBERGER,6122,1742,3.51,46,212
NONOAI,RUA DR CAMPOS VELHO,5176,2419,2.14,244,648
NONOAI,RUA COSTA LIMA,4888,2670,1.83,71,512
NONOAI,RUA MONTE ARRAES,4405,2400,1.84,36,145
NONOAI,RUA TAVEIRA JUNIOR,4067,1809,2.25,7,171
NONOAI,RUA SEPE TIARAJU,3962,1784,2.22,9,57
NONOAI,AVENIDA NONOAI,3958,2002,1.98,23,289
NONOAI,RUA SEBASTIAO WOLF,3716,1815,2.05,5,126
NONOAI,RUA ALCEBIADES ANTONIO DOS SANTOS,3700,2739,1.35,17,177
NONOAI,RUA MARCELINO RAMOS,3646,2258,1.61,3,27
NONOAI,RUA CANGUSSU,3617,2073,1.74,20,240
NONOAI,RUA OCTAVIO DE SOUZA,3617,2116,1.71,46,435
NONOAI,AVENIDA FABIO ARAUJO SANTOS,3560,2325,1.53,129,844
NONOAI,AVENIDA SAO SEBASTIAO,3450,2435,1.42,6,65
NONOAI,RUA ERECHIM,3442,1609,2.14,22,356
NONOAI,RUA MATA COELHO,3364,1643,2.05,5,95
NONOAI,RUA INVESTIGADOR PEDRO LOECI MARTINS,3245,2581,1.26,3,27
NONOAI,RUA JAMIL ANTONIO JOSE,3240,1766,1.83,5,42
NONOAI,RUA COELHO DA COSTA,3238,2159,1.5,3,14
NONOAI,AVENIDA CRUZ ALTA,3200,2351,1.36,5,91
NONOAI,RUA ORFANOTROFIO,3191,1885,1.69,202,1147
NONOAI,RUA ALFREDO SILVEIRA DIAS,3182,2230,1.43,3,31
NONOAI,RUA CACHOEIRA,2987,2178,1.37,3,109
NONOAI,RUA GABRIEL MASCARELLO,2964,1255,2.36,4,46
NONOAI,AVENIDA VICENTE MONTEGGIA,2954,2202,1.34,6,143
NONOAI,RUA DR NEY CABRAL,2901,1708,1.7,11,128
NONOAI,RUA SANTA FLORA,2877,1800,1.6,4,47
NONOAI,RUA MENEZES PAREDES,2829,2453,1.15,9,64
NONOAI,RUA DONA OTILIA,2608,1728,1.51,4,64
NONOAI,AVENIDA QUARAI,2485,1639,1.52,15,164
NONOAI,RUA JOAO MAIA,2454,2506,0.98,9,60
NONOAI,RUA GREGORIO DA FONSECA,2303,2392,0.96,3,35
NONOAI,RUA MARCIO DIAS,2265,2162,1.05,4,66
PARQUE STA FE,RUA REV OLAVO NUNES,5500,2934,1.87,906,1000
PARQUE STA FE,RUA HUGO NELSON MAGALHAES,4175,1867,2.24,6,60
PARQUE STA FE,RUA OSMINDO JULIO KUHN,3981,1862,2.14,8,49
PARQUE STA FE,AVENIDA JOAO FERREIRA JARDIM,3723,1612,2.31,127,721
PARQUE STA FE,RUA HERMINIO LEAL DE ALBUQUERQUE,3712,1975,1.88,6,26
PARQUE STA FE,RUA PROF ALVARO BARCELLOS FERREIRA,3553,1620,2.19,13,110
PARQUE STA FE,RUA RAYMUNDO LUIZ MARINHO FILHO,3415,2129,1.6,4,43
PARQUE STA FE,AVENIDA EDU LAS-CASAS,3361,1508,2.23,146,447
PARQUE STA FE,RUA DR JOAO CESAR KRIEGER,3269,1911,1.71,3,24
PARQUE STA FE,RUA MARIA LUIZA FETTERMANN,3213,1739,1.85,6,11
PARQUE STA FE,RUA PASTOR BOLL,3176,2022,1.57,4,23
PARQUE STA FE,AVENIDA BALTAZAR DE OLIVEIRA GARCIA,3101,1226,2.53,3,39
PARQUE STA FE,RUA LAURO RODRIGUES,3095,1975,1.57,4,35
PARQUE STA FE,RUA ABDO JORGE CURI,3013,1533,1.97,10,29
PARQUE STA FE,AVENIDA DELMAR ROCHA BARBOSA,3012,1710,1.76,23,179
PARQUE STA FE,RUA MAESTRO LEO W SCHNEIDER,3000,1916,1.57,3,92
PARQUE STA FE,RUA LOLA DE OLIVEIRA,2877,2226,1.29,3,26
PARQUE STA FE,RUA DR OSVALDO DEGRAZIA,2840,2155,1.32,3,31
PARQUE STA FE,AVENIDA IRENE RUPERTI,2827,2175,1.3,6,32
PARQUE STA FE,RUA MARIA ELAINE WOTTER,2741,2063,1.33,4,24
PARQUE STA FE,RUA GEN TELINO CHAGASTELLES,2708,1640,1.65,23,129
PARQUE STA FE,RUA SAARA,2676,1451,1.84,6,32
PARQUE STA FE,RUA OCTAVIO SAGEBIN,2644,1499,1.76,9,50
PARQUE STA FE,RUA ALVARO DOMINGUES,2623,1368,1.92,19,87
PARQUE STA FE,RUA ALOISIO OLYMPIO DE MELLO,2602,1366,1.9,16,73
PARQUE STA FE,AVENIDA DR PETRONIO PORTELLA,2314,2162,1.07,3,32
PARQUE STA FE,RUA RUDI SCHALY,2300,2060,1.12,9,87
PARQUE STA FE,RUA JOSE CARLOS DE SOUZA LOBO,2297,2018,1.14,4,19
PARQUE STA FE,RUA FRANCISCA LECHNER,2203,2300,0.96,6,45
PARQUE STA FE,AVENIDA DR SAULO COELHO,2067,2206,0.94,3,23
PARQUE STA FE,RUA FLORENCA,2056,2405,0.85,3,17
PARQUE STA FE,RUA HERMES PEREIRA DE SOUZA,1871,1915,0.98,4,16
PARTENON,AVENIDA DOS CUBANOS,9266,2866,3.23,263,425
PARTENON,RUA SAO MANOEL,7171,3994,1.8,42,373
PARTENON,RUA TEN ALPOIM,6452,1826,3.53,4,36
PARTENON,RUA CAPITAO PEDRO WERLANG,6219,2749,2.26,150,276
PARTENON,RUA VEADOR PORTO,5882,3984,1.48,49,310
PARTENON,RUA FREI GERMANO,5683,2374,2.39,126,404
PARTENON,AVENIDA CERES,5602,2607,2.15,54,417
PARTENON,RUA SAO FRANCISCO,5558,4238,1.31,37,200
PARTENON,RUA PROF CRISTIANO FISCHER,5476,3264,1.68,42,296
PARTENON,RUA PEDRO PEREIRA DE SOUZA,5357,1601,3.35,4,21
PARTENON,RUA GOMES JARDIM,5246,3912,1.34,32,241
PARTENON,RUA PADRE TODESCO,5196,2660,1.95,30,235
PARTENON,RUA SAO LUIZ,5167,3452,1.5,66,398
PARTENON,RUA LUIZ DE CAMOES,4978,3458,1.44,45,341
PARTENON,RUA DR FELIX CONTREIRAS RODRIGUES,4969,2534,1.96,15,113
PARTENON,RUA IVO JANSON,4913,1450,3.39,9,68
PARTENON,RUA MACHADO DE ASSIS,4890,2905,1.68,23,150
PARTENON,RUA DR FERNANDO ORTIZ SCHNEIDER,4824,2179,2.21,4,29
PARTENON,RUA EVARISTO DA VEIGA,4806,2809,1.71,15,144
PARTENON,AVENIDA CEL APARICIO BORGES,4754,3165,1.5,48,242
PARTENON,RUA MONTEIRO LOBATO,4727,3290,1.44,29,146
PARTENON,RUA AURELIO PORTO,4557,3625,1.26,34,165
PARTENON,RUA PROF GUERREIRO LIMA,4555,2116,2.15,31,214
PARTENON,AVENIDA DOS BURGUESES,4534,2866,1.58,64,247
PARTENON,AVENIDA IPIRANGA,4485,2634,1.7,190,875
PARTENON,RUA OSWALDO PEREIRA DE FREITAS,4472,2005,2.23,30,260
PARTENON,RUA GUILHERME ALVES,4439,1868,2.38,78,531
PARTENON,RUA FATIMA,4416,3046,1.45,4,58
PARTENON,RUA JOAQUIM SERRA,4348,2151,2.02,3,10
PARTENON,RUA PRIMEIRO DE MAIO,4333,2136,2.03,4,99
PARTENON,RUA BENTO DE AMARAL,4287,1799,2.38,11,98
PARTENON,RUA BARAO DO AMAZONAS,4234,2151,1.97,76,650
PARTENON,RUA RUBEM ANTONIO DA SILVA,4217,1596,2.64,17,76
PARTENON,RUA ROCHA POMBO,4199,1712,2.45,10,60
PARTENON,RUA BATISTA XAVIER,4112,1873,2.2,12,138
PARTENON,RUA MOACIR SANTANA,4105,1594,2.58,17,60
PARTENON,RUA DR TELMO VERGARA,4098,2337,1.75,8,64
PARTENON,RUA PORTUGUESA,4071,1780,2.29,45,353
PARTENON,RUA GONCALVES LEDO,4026,2720,1.48,17,127
PARTENON,RUA VERISSIMO ROSA,4008,3201,1.25,23,122
PARTENON,RUA PAISSANDU,4002,2192,1.83,7,110
PARTENON,RUA SAO GUILHERME,3908,1704,2.29,65,425
PARTENON,RUA ANTONIO MARANGHELLO,3838,1595,2.41,11,60
PARTENON,RUA DR GALENO PIANTA,3823,1707,2.24,14,80
PARTENON,RUA OLAVO DUTRA,3822,1456,2.62,16,90
PARTENON,RUA NELSON ZANG,3800,2251,1.69,69,232
PARTENON,RUA JOAO BONUMA,3740,1989,1.88,9,46
PARTENON,RUA MARCONE,3738,1588,2.35,35,181
PARTENON,RUA TOBIAS BARRETO,3706,2289,1.62,24,178
PARTENON,RUA ALEXANDRE SNEL,3701,1716,2.16,5,52
PARTENON,RUA PEDRO BOTICARIO,3696,1966,1.88,7,86
PARTENON,RUA CEL JOSE RODRIGUES SOBRAL,3696,1025,3.61,20,133
PARTENON,RUA CAPITAO ARISOLY VARGAS,3631,2454,1.48,43,199
PARTENON,RUA EUCLYDES DA CUNHA,3589,2108,1.7,42,267
PARTENON,AVENIDA ELIAS CIRNE LIMA,3586,1676,2.14,9,83
PARTENON,RUA ALBION,3556,2132,1.67,146,826
PARTENON,RUA PINTO DA ROCHA,3471,1582,2.19,5,81
PARTENON,RUA DR LOSSIO,3470,2161,1.61,4,41
PARTENON,RUA DR PEDRO MOTTA,3450,2086,1.65,4,61
PARTENON,RUA WALDOMIRO SCHAPKE,3426,2425,1.41,11,96
PARTENON,RUA EUCLYDES MIRANDA,3401,1496,2.27,13,70
PARTENON,AVENIDA BENTO GONCALVES,3383,1932,1.75,147,1192
PARTENON,RUA CEL JAIME DA COSTA PEREIRA,3375,1914,1.76,18,161
PARTENON,RUA RIVADAVIA CORREIA,3372,1886,1.79,5,39
PARTENON,RUA ARTUR DE OLIVEIRA,3303,1529,2.16,13,128
PARTENON,RUA DR PEREIRA DA CUNHA,3173,2139,1.48,5,56
PARTENON,RUA HOMEM DE MELLO,3117,1829,1.7,5,59
PARTENON,RUA PEDRO VELHO,3113,1679,1.85,12,258
PARTENON,RUA DR FRANCISCO DE SA BRITO,3110,1737,1.79,3,47
PARTENON,RUA DOZE DE OUTUBRO,3050,1955,1.56,7,127
PARTENON,RUA DAMASCENO VIEIRA,3046,2206,1.38,5,22
PARTENON,RUA MARTIM MINABERRY,3023,2149,1.41,6,105
PARTENON,RUA PAULINO AZURENHA,2950,1893,1.56,9,211
PARTENON,RUA JOAQUIM NORBERTO,2753,2019,1.36,3,32
PARTENON,RUA CEL VILLAGRAN CABRITA,2662,2607,1.02,11,102
PARTENON,RUA HUMBERTO DE CAMPOS,2545,2234,1.14,16,193
PARTENON,RUA SANTA CLARA,2496,2112,1.18,3,27
PARTENON,RUA RAFAEL CLARK,2447,1689,1.45,3,82
PARTENON,RUA CAIEIRA,1673,2219,0.75,3,19
PARTENON,RUA NARCISA AMALIA,1532,1800,0.85,3,11
PASSO DA AREIA,AVENIDA JOAO WALLIG,11199,4252,2.63,311,1006
PASSO DA AREIA,RUA AZEVEDO SODRE,10398,4635,2.24,86,247
PASSO DA AREIA,RUA ATANASIO BELMONTE,10006,3426,2.92,47,166
PASSO DA AREIA,RUA KIEV,9291,4579,2.03,11,55
PASSO DA AREIA,PRAAA DR GASTAO SANTOS,8366,4237,1.97,10,59
PASSO DA AREIA,RUA JARI,8298,3840,2.16,175,1307
PASSO DA AREIA,RUA ACELIO DAUDT,8016,3557,2.25,30,187
PASSO DA AREIA,AVENIDA GRECIA,7594,3285,2.31,79,535
PASSO DA AREIA,RUA ANDARAI,7234,3426,2.11,98,663
PASSO DA AREIA,RUA RAMIS GALVAO,7143,4667,1.53,4,11
PASSO DA AREIA,RUA GERALDO SOUZA MOREIRA,7099,2974,2.39,17,124
PASSO DA AREIA,RUA PAULO SETUBAL,6988,3594,1.94,32,109
PASSO DA AREIA,RUA JOSE SCUTARI,6795,3460,1.96,33,199
PASSO DA AREIA,RUA ARTUR FABIAO CARNEIRO,6667,3412,1.95,33,113
PASSO DA AREIA,RUA GEN PEDRO BITTENCOURT,6660,4203,1.58,19,81
PASSO DA AREIA,RUA BEZERRA DE MENEZES,6277,4479,1.4,42,226
PASSO DA AREIA,RUA SOBRADINHO,6256,2129,2.94,3,57
PASSO DA AREIA,RUA LUIZ COSME,6195,3445,1.8,34,215
PASSO DA AREIA,RUA DR EDUARDO CHARTIER,5842,2293,2.55,28,184
PASSO DA AREIA,RUA LIBERO BADARO,5658,3022,1.87,20,163
PASSO DA AREIA,RUA ROQUE CALLAGE,5527,2969,1.86,123,1085
PASSO DA AREIA,RUA ITAPEVA,5489,3701,1.48,39,217
PASSO DA AREIA,RUA ARIOVALDO PINHEIRO,5467,3158,1.73,27,178
PASSO DA AREIA,RUA GEN TASSO FRAGOSO,5436,2977,1.83,7,59
PASSO DA AREIA,RUA GUILHERME KLIPPEL,5316,3361,1.58,7,83
PASSO DA AREIA,RUA MARECHAL JOSE INACIO DA SILVA,4900,3198,1.53,10,63
PASSO DA AREIA,RUA TUPI,4830,1768,2.73,3,39
PASSO DA AREIA,RUA ANITA GARIBALDI,4796,3723,1.29,28,144
PASSO DA AREIA,RUA MARECHAL SIMEAO,4792,4432,1.08,3,8
PASSO DA AREIA,RUA UBATUBA,4525,1824,2.48,7,30
PASSO DA AREIA,TRAVESSA JAGUARAO,4445,3435,1.29,5,54
PASSO DA AREIA,RUA SAPE,4433,1762,2.52,22,92
PASSO DA AREIA,RUA VALENTIM VICENTINI,4426,3614,1.22,5,49
PASSO DA AREIA,RUA SANTIAGO,4417,3416,1.29,11,62
PASSO DA AREIA,RUA CEL FEIJO,4313,2818,1.53,4,56
PASSO DA AREIA,RUA TUPANCIRETA,4241,2509,1.69,7,55
PASSO DA AREIA,RUA ANTONIO JOAQUIM MESQUITA,4184,1725,2.43,13,120
PASSO DA AREIA,RUA JOSE CARLOS FERREIRA,4149,3293,1.26,10,60
PASSO DA AREIA,RUA UMBU,4127,2529,1.63,35,329
PASSO DA AREIA,RUA ACORES,4118,1708,2.41,18,139
PASSO DA AREIA,RUA RIO PARDO,4022,3178,1.27,6,56
PASSO DA AREIA,RUA CEL JOAO CORREA,4011,1587,2.53,92,625
PASSO DA AREIA,RUA TUPARAI,4010,3269,1.23,10,83
PASSO DA AREIA,RUA SAO JERONIMO,3922,2809,1.4,3,25
PASSO DA AREIA,AVENIDA TAPIACU,3903,2638,1.48,14,108
PASSO DA AREIA,RUA VINTE QUATRO DE JUNHO,3902,3003,1.3,9,108
PASSO DA AREIA,RUA LEOPOLDO DE FREITAS,3875,1714,2.26,7,91
PASSO DA AREIA,RUA DR ARY RAMOS DE LIMA,3873,1727,2.24,3,36
PASSO DA AREIA,RUA CAXIAS DO SUL,3855,2771,1.39,3,24
PASSO DA AREIA,RUA VERANOPOLIS,3824,2901,1.32,35,269
PASSO DA AREIA,RUA JOAO DE MAGALHAES,3816,1776,2.15,5,29
PASSO DA AREIA,RUA VISCONDE DE PELOTAS,3806,1912,1.99,36,195
PASSO DA AREIA,RUA DOM PEDRITO,3797,3042,1.25,16,88
PASSO DA AREIA,RUA SPORT CLUB SAO JOSE,3790,2387,1.59,11,55
PASSO DA AREIA,LAGO DA BANDEIRA,3765,2455,1.53,3,30
PASSO DA AREIA,AVENIDA PLINIO BRASIL MILANO,3759,2101,1.79,86,618
PASSO DA AREIA,RUA NOVA PRATA,3756,3219,1.17,6,68
PASSO DA AREIA,RUA BARAO DE TRAMANDAI,3687,1658,2.22,17,148
PASSO DA AREIA,RUA CRISTOVAO PEREIRA,3683,1543,2.39,12,127
PASSO DA AREIA,AVENIDA DOS INDUSTRIARIOS,3661,2467,1.48,26,206
PASSO DA AREIA,AVENIDA CARNEIRO DA FONTOURA,3593,1833,1.96,3,38
PASSO DA AREIA,RUA SANTA ROSA,3563,1932,1.84,7,16
PASSO DA AREIA,RUA ARROIO DO MEIO,3534,2694,1.31,5,16
PASSO DA AREIA,AVENIDA BRASILIANO INDIO DE MORAES,3505,2424,1.45,60,507
PASSO DA AREIA,RUA SOROCABA,3288,1799,1.83,17,112
PASSO DA AREIA,AVENIDA ASSIS BRASIL,3198,1839,1.74,57,346
PASSO DA AREIA,AVENIDA CAMBAI,3138,2616,1.2,3,47
PASSO DA AREIA,RUA NOVO HAMBURGO,2477,2723,0.91,3,60
PASSO DA AREIA,RUA SILVA TAVARES,2325,2558,0.91,3,51
PASSO PEDRAS,AVENIDA KARL IWERS,6503,1535,4.24,73,898
PASSO PEDRAS,RUA TEN ARY TARRAGO,5101,2574,1.98,37,353
PASSO PEDRAS,AVENIDA CASCAIS,4400,2611,1.69,16,288
PASSO PEDRAS,RUA DEPUTADO HUGO MARDINI,3886,1436,2.71,15,241
PEDRA REDONDA,AVENIDA CEL MARCOS,6141,2812,2.18,37,230
PEDRA REDONDA,RUA DR NEY DE CASTILHOS FERREIRA,4663,4048,1.15,5,17
PEDRA REDONDA,TRAVESSA PEDRA REDONDA,3166,3207,0.99,4,26
PETROPOLIS,RUA REGENTE,14325,6081,2.36,24,98
PETROPOLIS,RUA CURVELO,14320,6337,2.26,53,228
PETROPOLIS,AVENIDA SOLEDADE,14264,5350,2.67,97,297
PETROPOLIS,RUA MARIZ E BARROS,13214,4741,2.79,95,281
PETROPOLIS,AVENIDA SENADOR TARSO DUTRA,12414,4732,2.62,124,246
PETROPOLIS,AVENIDA GUAPORE,11532,5207,2.21,53,253
PETROPOLIS,RUA PROF FITZGERALD,10957,5259,2.08,23,145
PETROPOLIS,RUA JAIME TELES,10849,5900,1.84,47,105
PETROPOLIS,RUA ARMANDO PEREIRA CAMARA,10667,5586,1.91,7,15
PETROPOLIS,AVENIDA JOAO OBINO,10651,5041,2.11,41,229
PETROPOLIS,TRAVESSA PROF TUPI CALDAS,10650,6069,1.75,31,67
PETROPOLIS,RUA MARIO ANTUNES DA CUNHA,10575,4735,2.23,97,517
PETROPOLIS,RUA LUIZ SO,10432,3802,2.74,25,133
PETROPOLIS,RUA DES AUGUSTO LOUREIRO LIMA,10146,4824,2.1,13,58
PETROPOLIS,RUA GUTEMBERG,9924,4711,2.11,12,139
PETROPOLIS,RUA MARIO LEITAO,9885,4319,2.29,14,144
PETROPOLIS,RUA PROF IVO CORSEUIL,9812,3160,3.11,30,184
PETROPOLIS,AVENIDA LUIZ MANOEL GONZAGA,9414,5669,1.66,35,205
PETROPOLIS,AVENIDA ITAJAI,9409,5198,1.81,90,342
PETROPOLIS,RUA PROF CRISTIANO FISCHER,9409,3721,2.53,13,96
PETROPOLIS,RUA FARIA SANTOS,8985,4685,1.92,79,455
PETROPOLIS,RUA DR VERIDIANO FARIAS,8980,5662,1.59,9,129
PETROPOLIS,RUA TOROPI,8699,5409,1.61,27,132
PETROPOLIS,AVENIDA ENCANTADO,8632,5760,1.5,44,228
PETROPOLIS,RUA MACHADO DE ASSIS,8107,5601,1.45,4,56
PETROPOLIS,RUA BUENOS AIRES,7791,4514,1.73,37,178
PETROPOLIS,RUA PROF LANGENDONCK,7729,4361,1.77,17,134
PETROPOLIS,RUA BORGES DO CANTO,7649,5255,1.46,20,95
PETROPOLIS,RUA ECA DE QUEIROZ,7587,4815,1.58,146,689
PETROPOLIS,RUA REIS LOUZADA,7493,4232,1.77,12,102
PETROPOLIS,RUA DES ALVES NOGUEIRA,7462,5442,1.37,17,142
PETROPOLIS,AVENIDA LAGEADO,7367,4647,1.59,144,864
PETROPOLIS,AVENIDA BAGE,7288,4460,1.63,175,891
PETROPOLIS,RUA VITOR HUGO,6992,4407,1.59,14,77
PETROPOLIS,AVENIDA PALMEIRA,6986,4937,1.42,45,283
PETROPOLIS,RUA JOAO CAETANO,6963,5234,1.33,16,130
PETROPOLIS,RUA DARIO PEDERNEIRAS,6881,4862,1.42,94,574
PETROPOLIS,RUA GUARARAPES,6834,3785,1.81,22,220
PETROPOLIS,RUA DR JOAO DUTRA,6790,4256,1.6,9,54
PETROPOLIS,RUA FELIPE DE OLIVEIRA,6748,4222,1.6,78,500
PETROPOLIS,AVENIDA IJUI,6696,3734,1.79,65,359
PETROPOLIS,RUA SANTOS NETO,6675,4465,1.49,48,242
PETROPOLIS,RUA MARANGUAPE,6643,4644,1.43,14,102
PETROPOLIS,TRAVESSA CEL ANTONIO CARNEIRO PINTO,6636,4910,1.35,11,112
PETROPOLIS,RUA CARVALHO MONTEIRO,6390,4832,1.32,21,131
PETROPOLIS,RUA SINIMBU,6296,3975,1.58,26,209
PETROPOLIS,AVENIDA NILOPOLIS,6136,3800,1.61,16,176
PETROPOLIS,RUA RIVEIRA,6081,4092,1.49,47,276
PETROPOLIS,RUA DONA OTI,6026,2826,2.13,25,185
PETROPOLIS,RUA CAMERINO,6004,3471,1.73,10,46
PETROPOLIS,AVENIDA PIRAPO,5962,4489,1.33,24,156
PETROPOLIS,RUA VISCONDE DE DUPRAT,5932,3889,1.53,35,230
PETROPOLIS,AVENIDA MONTENEGRO,5911,3722,1.59,51,200
PETROPOLIS,AVENIDA IGUASSU,5878,4229,1.39,74,379
PETROPOLIS,RUA HERETIANO ROCHA,5837,2988,1.95,3,19
PETROPOLIS,RUA CEL CORTE REAL,5802,4091,1.42,136,803
PETROPOLIS,RUA SACADURA CABRAL,5730,3944,1.45,11,90
PETROPOLIS,RUA DONA EUGENIA,5703,3261,1.75,46,262
PETROPOLIS,RUA CHILE,5594,3327,1.68,18,83
PETROPOLIS,RUA PERPETUA TELES,5481,3538,1.55,28,141
PETROPOLIS,RUA JOAO ABBOTT,5468,3640,1.5,46,383
PETROPOLIS,RUA ITABORAI,5466,4131,1.32,4,44
PETROPOLIS,AVENIDA TAQUARA,5461,3837,1.42,34,278
PETROPOLIS,RUA CARAZINHO,5428,2922,1.86,51,398
PETROPOLIS,RUA MURILO FURTADO,5424,4939,1.1,25,127
PETROPOLIS,AVENIDA LAVRAS,5398,3649,1.48,101,623
PETROPOLIS,AVENIDA NEUSA GOULART BRIZOLA,5299,4245,1.25,10,76
PETROPOLIS,AVENIDA ALEGRETE,5255,3930,1.34,114,513
PETROPOLIS,PRAAA NACOES UNIDAS,5242,4275,1.23,11,93
PETROPOLIS,AVENIDA CEL LUCAS DE OLIVEIRA,5223,3624,1.44,221,1367
PETROPOLIS,AVENIDA CARLOS GOMES,5085,4451,1.14,16,131
PETROPOLIS,RUA FERREIRA VIANA,5034,3108,1.62,139,897
PETROPOLIS,RUA GUILHERME ALVES,4956,2367,2.09,32,241
PETROPOLIS,RUA CARLOS DE CARVALHO,4926,3296,1.49,7,39
PETROPOLIS,AVENIDA CACAPAVA,4852,3436,1.41,34,178
PETROPOLIS,RUA LAGOINHA,4725,3752,1.26,7,86
PETROPOLIS,RUA FELIZARDO FURTADO,4675,2881,1.62,65,506
PETROPOLIS,RUA FELIZARDO,4643,2877,1.61,38,310
PETROPOLIS,RUA ARTIGAS,4621,2481,1.86,56,268
PETROPOLIS,RUA ALVARES MACHADO,4598,3858,1.19,20,77
PETROPOLIS,RUA GEN SOUZA DOCA,4524,3824,1.18,15,128
PETROPOLIS,RUA BARAO DO AMAZONAS,4434,2586,1.71,93,564
PETROPOLIS,RUA AMELIA TELES,4396,3739,1.18,41,203
PETROPOLIS,RUA VICENTE DA FONTOURA,4323,2888,1.5,41,358
PETROPOLIS,RUA ENG ROBERTO SIMONSEN,4256,4733,0.9,3,7
PETROPOLIS,AVENIDA ITAQUI,4246,3183,1.33,28,170
PETROPOLIS,RUA DONA ALICE,4229,2590,1.63,11,40
PETROPOLIS,AVENIDA PROTASIO ALVES,3886,2742,1.42,210,1246
PETROPOLIS,RUA DONA LUCIA,3313,1906,1.74,4,22
PETROPOLIS,RUA ENG ANTONIO CARLOS TIBIRICA,3056,2171,1.41,24,240
PETROPOLIS,RUA LA PLATA,2810,2112,1.33,3,15
PITINGA,ESTRADA JOAO ANTONIO SILVEIRA,1980,1444,1.37,6,975
PONTA GROSSA,ESTRADA DA PONTA GROSSA,8889,1353,6.57,3,85
PONTA GROSSA,RUA ILTON MOREIRA DE SOUZA,6322,1407,4.49,37,29
PONTA GROSSA,AVENIDA PRINCIPAL DA PONTA GROSSA,3864,1380,2.8,17,239
