bairro,logradouro,n_transacoes,rs_m2_mediana
JARDIM BOTANICO,Rua GONCALVES LEDO,8,4207
JARDIM BOTANICO,Rua GUARAJA,7,5828
JARDIM BOTANICO,Rua GUILHERME ALVES,70,4506
JARDIM BOTANICO,Rua ISIDORO TRESSI,21,5802
JARDIM BOTANICO,Rua ITABORAI,114,5108
JARDIM BOTANICO,Rua JACOB VONTOBEL,29,6215
JARDIM BOTANICO,Rua JOAO DE CASTILHO,5,3497
JARDIM BOTANICO,Rua LA PLATA,25,5117
JARDIM BOTANICO,Rua MACHADO DE ASSIS,29,6955
JARDIM BOTANICO,Rua ODILA GAY DA FONSECA,6,3466
JARDIM BOTANICO,Rua OITO DE JULHO,83,8247
JARDIM BOTANICO,Rua PEDRO PIERETTI,14,6414
JARDIM BOTANICO,Rua PROF CRISTIANO FISCHER,3,2278
JARDIM BOTANICO,Rua PROF FREITAS CABRAL,55,6377
JARDIM BOTANICO,Rua ROQUE GONZALES,11,3807
JARDIM BOTANICO,Rua SAICA,24,7884
JARDIM BOTANICO,Rua SIEGFRIED GUNTHER FISCHER,3,3947
JARDIM BOTANICO,Rua SURUPA,14,4452
JARDIM BOTANICO,Rua VALPARAISO,39,4833
JARDIM BOTANICO,Rua VERISSIMO ROSA,16,6262
JARDIM BOTANICO,Travessa SERAFIM TERRA,35,4064
JARDIM BOTANICO,Travessa VILETA,38,7721
JARDIM CARVALHO,Avenida ANTONIO CARVALHO,353,5391
JARDIM CARVALHO,Avenida IPIRANGA,93,5625
JARDIM CARVALHO,Avenida PROTASIO ALVES,47,4663
JARDIM CARVALHO,Avenida SARGENTO MANOEL RAYMUNDO SOARES,7,2334
JARDIM CARVALHO,Beco DO  CARVALHO,4,4006
JARDIM CARVALHO,Rua ABRAM GOLDSZTEIN,68,4633
JARDIM CARVALHO,Rua ALBERTO NEPOMUCENO,4,2614
JARDIM CARVALHO,Rua ATTILIO BILIBIO,197,6489
JARDIM CARVALHO,Rua BOM PRINCIPIO,4,3277
JARDIM CARVALHO,Rua CARLOS REVERBEL,73,4887
JARDIM CARVALHO,Rua COMENDADOR EDUARDO SECCO,28,1843
JARDIM CARVALHO,Rua DR AGOSTINHO BRAUL,7,3064
JARDIM CARVALHO,Rua ERNESTO DORNELLES,6,2870
JARDIM CARVALHO,Rua GRALHA AZUL,47,6796
JARDIM CARVALHO,Rua IRMAO NORBERTO FRANCISCO RAUCH,361,4919
JARDIM CARVALHO,Rua JOSE MADRID,3,2588
JARDIM CARVALHO,Rua PODALIRIO JOAO DA ROCHA,3,2371
JARDIM DO SALSO,Avenida IPIRANGA,26,3697
JARDIM DO SALSO,Rua ALDO MENOTTI SIRANGELO,23,7960
JARDIM DO SALSO,Rua ANERON CORREA DE OLIVEIRA,14,5962
JARDIM DO SALSO,Rua ANGELO CRIVELLARO,92,3137
JARDIM DO SALSO,Rua DR AFFONSO SANMARTIN,18,3331
JARDIM DO SALSO,Rua GRACILIANO RAMOS,8,4043
JARDIM DO SALSO,Rua JAYR AMAURY KOEBE,198,8944
JARDIM DO SALSO,Rua JOSE ALBANO VOLKMER,27,9737
JARDIM DO SALSO,Rua LUIZ CARLOS S CORREA,6,3518
JARDIM DO SALSO,Rua NEY MESSIAS,4,3493
JARDIM DO SALSO,Rua NICOLA MATHIAS FALCI,83,9397
JARDIM DO SALSO,Rua PROF ABILIO AZAMBUJA,13,3997
JARDIM DO SALSO,Rua PROF CRISTIANO FISCHER,39,5530
JARDIM DO SALSO,Rua PROF GASTAO DIAS DE CASTRO,8,5201
JARDIM DO SALSO,Rua PROF PEDRO SANTA HELENA,3,3066
JARDIM DO SALSO,Rua PROFESSOR PEDRO SANTA HELENA,12,3008
JARDIM DO SALSO,Rua SAO BENEDITO,14,2815
JARDIM DO SALSO,Rua SAO JOSEMARIA ESCRIVA,249,9569
JARDIM DO SALSO,Rua SAO LUCAS,4,4406
JARDIM DO SALSO,Rua SAO MATEUS,264,11266
JARDIM DO SALSO,Rua SAO SIMAO,10,3980
JARDIM DO SALSO,Rua WALDOMIRO SOUZA,14,2934
JARDIM EUROPA,Avenida ENG ARY DE ABREU LIMA,27,14748
JARDIM EUROPA,Avenida FERDINAND KISSLINGER,52,12979
JARDIM EUROPA,Avenida TULIO DE ROSE,83,11979
JARDIM EUROPA,Avenida VERISSIMO DE AMARAL,69,13840
JARDIM EUROPA,Rua CARLOS CONTURSI,8,12129
JARDIM EUROPA,Rua CIDADE DE UBERLANDIA,5,5344
JARDIM EUROPA,Rua CIPO,6,5557
JARDIM EUROPA,Rua DR DARIO DE BITTENCOURT,29,12102
JARDIM EUROPA,Rua DR HELMUTH WEINMANN,13,17492
JARDIM EUROPA,Rua DR JOAO SATT,21,12833
JARDIM EUROPA,Rua IVESCIO PACHECO,44,16185
JARDIM EUROPA,Rua PADRE ALOIS KADES S J,23,4723
JARDIM FLORESTA,Rua AVARE,3,2813
JARDIM FLORESTA,Rua COMENDADOR DUVAL,8,3245
JARDIM FLORESTA,Rua DIAMANTINA,5,5429
JARDIM FLORESTA,Rua DR DEOCLECIO PEREIRA,10,3607
JARDIM FLORESTA,Rua EDMUNDO BASTIAN,5,4566
JARDIM FLORESTA,Rua OURO PRETO,25,4325
JARDIM FLORESTA,Rua PEDRO LESSA,5,3275
JARDIM ISABEL,Avenida ARLINDO PASQUALINI,12,3107
JARDIM ISABEL,Avenida CEL MARCOS,14,2929
JARDIM ISABEL,Rua CEL JOAO LEITE FILHO,3,5118
JARDIM ISABEL,Rua CONRADO FERRARI,7,3742
JARDIM ISABEL,Rua CONSELHEIRO XAVIER DA COSTA,14,3419
JARDIM ISABEL,Rua DAVID FRANCISCO MAURICIO,9,3118
JARDIM ISABEL,Rua DR ARNALDO DA SILVA FERREIRA,9,3479
JARDIM ISABEL,Rua DR GUILHERME SCHULTZ FILHO,5,3384
JARDIM ISABEL,Rua EDGAR LUIZ SCHNEIDER,17,3208
JARDIM ISABEL,Rua JOAO MENDES OURIQUES,15,3800
JARDIM ISABEL,Rua JOSE KANAN ARANHA,3,3630
JARDIM ISABEL,Rua JOSE PEDRO DE MOURA,4,3670
JARDIM ISABEL,Rua JOSE SANGUINETTI,7,3408
JARDIM ISABEL,Rua MORANO CALABRO,6,3688
JARDIM ISABEL,Rua PORTO CALVO,15,4432
JARDIM ISABEL,Rua PROF CARLOS DE PAULA COUTO,3,4957
JARDIM ISABEL,Travessa PEDRA REDONDA,13,3872
JARDIM ITU,Avenida ALEXANDRE LUIZ,17,3562
JARDIM ITU,Avenida ANTUNES RIBAS,9,2045
JARDIM ITU,Avenida BISPO JOAO SCALABRINI,27,3551
JARDIM ITU,Avenida KARL IWERS,292,5656
JARDIM ITU,Avenida NESTOR VALDMAN,6,5182
JARDIM ITU,Avenida PROF PAULA SOARES,9,3703
JARDIM ITU,Avenida SENADOR DANIEL KRIEGER,3,5365
JARDIM ITU,Avenida WALTER KAUFMANN,3,5684
JARDIM ITU,Rua ABILIO MILLER,5,5281
JARDIM ITU,Rua ALFREDO MIRANDA OBINO,8,3034
JARDIM ITU,Rua ANTONIO MANOEL DA ROSA,4,5740
JARDIM ITU,Rua AQUARIO,4,3593
JARDIM ITU,Rua ARNALDO BALLVE,12,3683
JARDIM ITU,Rua CAPITAO SALUSTIANO DE VARGAS,7,4197
JARDIM ITU,Rua CEL JOAO PACHECO DE FREITAS,4,3715
JARDIM ITU,Rua CHAFIC JOAO SCAF,5,4614
JARDIM ITU,Rua CONCORDE,90,6793
JARDIM ITU,Rua CONGONHAS,24,4236
JARDIM ITU,Rua CONSELHEIRO ANGELO FERRAZ,5,5034
JARDIM ITU,Rua CONSELHEIRO BRUSQUE,11,4004
JARDIM ITU,Rua COPERNICO,16,5938
JARDIM ITU,Rua CRUZ JOBIM,7,3733
JARDIM ITU,Rua DANTE POGGETTI,4,1728
JARDIM ITU,Rua DES ALMIRO CAUDURO,3,3419
JARDIM ITU,Rua DONA ADDA MASCARENHAS DE MORAES,86,4388
JARDIM ITU,Rua DR DERLY MONTEIRO,27,3738
JARDIM ITU,Rua DR EDUARDO MARQUES JUNIOR,3,4130
JARDIM ITU,Rua DR GALDINO NUNES VIEIRA,10,3487
JARDIM ITU,Rua DR PAULINO GUERRA,10,4452
JARDIM ITU,Rua ELIAS BOTHOME,10,4249
JARDIM ITU,Rua ELIZIO ABATE CRIVELLA,6,3404
JARDIM ITU,Rua FELISBERTO PEREIRA,8,4482
JARDIM ITU,Rua FERNANDO STREHLAU,6,4114
JARDIM ITU,Rua FRANCISCO SILVEIRA DIAS FILHO,89,7177
JARDIM ITU,Rua GASPAR DE LEMOS,4,5017
JARDIM ITU,Rua GEN SOLON,5,6324
JARDIM ITU,Rua GOMES DE FREITAS,12,6388
JARDIM ITU,Rua GUADALAJARA,3,2807
JARDIM ITU,Rua HEITOR MANGANELLI,10,4436
JARDIM ITU,Rua HENRIQUE LOPES DOS SANTOS,3,2944
JARDIM ITU,Rua HENRIQUE SCLIAR,18,5112
JARDIM ITU,Rua ISRAEL WOLF,5,4580
JARDIM ITU,Rua JALMAR AZAMBUJA DINIZ,33,4877
JARDIM ITU,Rua JOAO CARLOS BERTUSSI DA SILVA,11,4705
JARDIM ITU,Rua JOAO FRANCISCO MARTINS,50,5427
JARDIM ITU,Rua JOAQUIM G DE CAMPOS NETTO,7,3903
JARDIM ITU,Rua LEITE DE CASTRO,19,5157
JARDIM ITU,Rua LEOPOLDO BETTIOL,3,4420
JARDIM ITU,Rua LOPES TEIXEIRA,4,3529
JARDIM ITU,Rua LUDWIG JACOB HUBLER,3,5099
JARDIM ITU,Rua LUIZ FONTOURA JUNIOR,42,4975
JARDIM ITU,Rua MADRE BARBARA MAIX,11,4443
JARDIM ITU,Rua MAESTRO SALVADOR CAMPANELLA,31,5326
JARDIM ITU,Rua MARACAIBO,11,3705
JARDIM ITU,Rua MARINA SIRANGELO CASTELLO,50,4596
JARDIM ITU,Rua MENACHEM BEGIN,4,4334
JARDIM ITU,Rua NICOLAU FAILLACE,30,4256
JARDIM ITU,Rua NILTON WALDEMAR STOCK,5,3515
JARDIM ITU,Rua PAUL HARRIS,13,3225
JARDIM ITU,Rua PAULO BLASCHKE,11,2747
JARDIM ITU,Rua PROF EMILIO KEMP,50,4910
JARDIM ITU,Rua PROF ISIDORO LA PORTA,4,3695
JARDIM ITU,Rua PROF LEOPOLDO TIETBOHL,6,3727
JARDIM ITU,Rua RUBENS ROSA GUEDES,16,3986
JARDIM ITU,Rua SORBONE,3,3364
JARDIM ITU,Rua TEN ARY TARRAGO,271,3806
JARDIM ITU,Rua VITORIO FRANCISCO GIORDANI,5,3607
JARDIM ITU,Rua WALIR ZOTTIS,26,5576
JARDIM ITU,Rua ZEEV JABOTINSKI,4,6459
JARDIM LINDOIA,Avenida BOGOTA,13,4163
JARDIM LINDOIA,Avenida DR WALTER SO JOBIM,16,3669
JARDIM LINDOIA,Avenida GUADALUPE,128,6739
JARDIM LINDOIA,Avenida LA PAZ,4,3550
JARDIM LINDOIA,Avenida MONTREAL,6,4686
JARDIM LINDOIA,Avenida PANAMERICANA,138,4949
JARDIM LINDOIA,Avenida QUITO,11,6455
JARDIM LINDOIA,Rua ALFREDO PLACIDES DA SILVA,3,10771
JARDIM LINDOIA,Rua ALIANCA,12,3870
JARDIM LINDOIA,Rua ASSUNCAO,33,5267
JARDIM LINDOIA,Rua CARACAS,9,4597
JARDIM LINDOIA,Rua COSTA RICA,9,4497
JARDIM LINDOIA,Rua EMILIO MULLER,100,10884
JARDIM LINDOIA,Rua FILIPINAS,12,4096
JARDIM LINDOIA,Rua GUATEMALA,4,4880
JARDIM LINDOIA,Rua LASAR SEGALL,82,3088
JARDIM LINDOIA,Rua LUIZ SIEGMANN,41,7205
JARDIM LINDOIA,Rua MANAGUA,4,3556
JARDIM LINDOIA,Rua MAURO GUEDES DE OLIVEIRA,66,6455
JARDIM LINDOIA,Rua OURO PRETO,24,3604
JARDIM LINDOIA,Rua PRESIDENTE JUAREZ,8,3007
JARDIM LINDOIA,Rua RODOLFO SIMCH,20,4902
JARDIM LINDOIA,Rua SANTA TECLA,12,4795
JARDIM LINDOIA,Rua TRUJILO,5,4379
JARDIM LINDOIA,Travessa BERMUDAS,4,5112
JARDIM LINDOIA,Travessa BORNEO,17,4665
JARDIM LINDOIA,Travessa COLONIA,7,6120
JARDIM LINDOIA,Travessa GUIANAS,3,7542
JARDIM LINDOIA,Travessa JAVA,4,5149
JARDIM LINDOIA,Travessa PORTO PRINCIPE,4,3608
JARDIM SABARA,Acesso JOSE DA SILVA BERNARDO,4,4859
JARDIM SABARA,Acesso JOSE MARCELINO MARTINS,7,3059
JARDIM SABARA,Acesso MARCELINO BARSKI,3,7143
JARDIM SABARA,Avenida ALBERTO PASQUALINI,17,4055
JARDIM SABARA,Beco DO  FRANKLIN,53,3459
JARDIM SABARA,Rua ALUIZIO DE AZEVEDO,4,2293
JARDIM SABARA,Rua ARACY FROES,50,3250
JARDIM SABARA,Rua CLAUDIO MANOEL DA COSTA,13,4319
JARDIM SABARA,Rua CRISTO REI,4,3045
JARDIM SABARA,Rua DR CARLOS RENATO R FONSECA,86,6128
JARDIM SABARA,Rua DR OTAVIO SANTOS,174,3335
JARDIM SABARA,Rua ERNESTO PELLANDA,22,7332
JARDIM SABARA,Rua FRANCELICIO PORTO,4,3104
JARDIM SABARA,Rua GUADALAJARA,14,3960
JARDIM SABARA,Rua HERCULANO CARNEIRO PINTO,28,7093
JARDIM SABARA,Rua IRMAO INOCENCIO LUIS,3,2143
JARDIM SABARA,Rua IVAN IGLESIAS,5,2992
JARDIM SABARA,Rua JACOB WECHSLER,4,2106
JARDIM SABARA,Rua JENOR CARDOSO JARROS,6,2207
JARDIM SABARA,Rua JOAO ALFREDO MELLO,3,2791
JARDIM SABARA,Rua JOAO ERNESTO SCHMIDT,30,6182
JARDIM SABARA,Rua JOSE LEONARDI,6,6290
JARDIM SABARA,Rua MANOEL BANDEIRA,10,3796
JARDIM SABARA,Rua MANOEL LOPES MEIRELLES,7,4701
JARDIM SABARA,Rua OSMAR AMARO DE FREITAS,3,2094
JARDIM SABARA,Rua PEDRO A A DE FREITAS FILHO,4,3471
JARDIM SABARA,Rua PLATAO,4,3824
JARDIM SABARA,Rua TEN ARY TARRAGO,77,3569
JARDIM SABARA,Rua VINTE QUATRO DE AGOSTO,9,5507
JARDIM SABARA,Rua VITAL BRASIL,7,2674
LOMBA PINHEIRO,Avenida BENTO GONCALVES,203,5701
LOMBA PINHEIRO,Avenida JOAO ANTONIO LOPES,5,2660
LOMBA PINHEIRO,Beco NOVE ESTR JOAO DE OLIVEIRA REMIAO,3,3405
LOMBA PINHEIRO,Estrada JOAO ANTONIO SILVEIRA,114,2996
LOMBA PINHEIRO,Estrada JOAO DE OLIVEIRA REMIAO,674,4396
LOMBA PINHEIRO,Rua ALVORADA,4,2208
LOMBA PINHEIRO,Rua ANTONIO PEDRO COSTA,9,5784
LOMBA PINHEIRO,Rua ANTONIO ROSITO,51,4028
LOMBA PINHEIRO,Rua CHACARA DAS NASCENTES,55,4035
LOMBA PINHEIRO,Rua DEROCY PERES DA PALMA,4,5449
LOMBA PINHEIRO,Rua DOLORES DURAN,273,5710
LOMBA PINHEIRO,Rua DOS COLIBRIS,6,2312
LOMBA PINHEIRO,Rua DR ITO BRANDAO,6,5112
LOMBA PINHEIRO,Rua JOSE ELIAS FLORES,65,4071
LOMBA PINHEIRO,Rua LEO ANTAO RIGON,4,3913
LOMBA PINHEIRO,Rua MARTIM ARANHA FILHO,5,3916
LOMBA PINHEIRO,Rua NADJA MARIA DE PAULA,3,3197
LOMBA PINHEIRO,Rua NUNZIATO BRUNO,37,4028
LOMBA PINHEIRO,Rua ORESTES GARCIA ANTONELLI,4,5256
LOMBA PINHEIRO,Rua ROCCO BRUNO,18,4403
LOMBA PINHEIRO,Rua RUI BIRIVA,7,4467
LOMBA PINHEIRO,Rua SANTO AMARO-LOMBA DO PINHEIRO,3,2982
LOMBA PINHEIRO,Rua SERGIO IGLESIAS BARCELLOS,10,4084
LOMBA PINHEIRO,Rua SOL NASCENTE,5,2886
LOMBA PINHEIRO,Rua TALITA DA CUNHA CHAVES,12,3247
LOMBA PINHEIRO,Rua TOCANTINS,31,4435
LOMBA PINHEIRO,Rua WALTER EMILIO SCHNEIDER,4,3981
MARIO QUINTANA,Avenida ARROIO FEIJO,14,4775
MARIO QUINTANA,Avenida MANOEL ELIAS,86,4248
MARIO QUINTANA,Avenida MARTIM FELIX BERTA,74,3899
MARIO QUINTANA,Avenida PROTASIO ALVES,674,5005
MARIO QUINTANA,Rua ADAO GREGORY,16,2055
MARIO QUINTANA,Rua ALBERTO JERONIMO GUERRA,26,3297
MARIO QUINTANA,Rua ALCEU ROSA DA SILVA,5,2000
MARIO QUINTANA,Rua ANA ABRUZZI,12,3613
MARIO QUINTANA,Rua ANGELO RAPHAEL FRIZZO,4,4686
MARIO QUINTANA,Rua ANTONIO CARLOS PEREIRA DE SOUZA,5,4228
MARIO QUINTANA,Rua ANTONIO DELAPIEVE,8,3010
MARIO QUINTANA,Rua ANTONIO LORY MULLER,8,3589
MARIO QUINTANA,Rua DEODORO,67,3935
MARIO QUINTANA,Rua DEZENOVE DE FEVEREIRO,21,4121
MARIO QUINTANA,Rua DONARIO NEVES DA SILVEIRA,4,3607
MARIO QUINTANA,Rua DR VARGAS NETO,3,4084
MARIO QUINTANA,Rua ERNY LUDWIG,6,3864
MARIO QUINTANA,Rua GAETANO SANTAGADA,5,2040
MARIO QUINTANA,Rua IDELVIRA DE MOURA ALMEIDA,4,2881
MARIO QUINTANA,Rua IRMA TERESILDA STEFFEN,238,3435
MARIO QUINTANA,Rua IRMAO ANTONIO CECCHIN,13,1969
MARIO QUINTANA,Rua JOAO BAPTISTA TEDESCO,3,4584
MARIO QUINTANA,Rua JOAO LAURO KLIEMANN,3,3500
MARIO QUINTANA,Rua JOSE DE BARROS ASSIS,6,3112
MARIO QUINTANA,Rua LIBORIO KUMMER,5,3400
MARIO QUINTANA,Rua MADRE CLARA,15,4496
MARIO QUINTANA,Rua MARIA ONOFRINA MENDONCA TORRES,4,4874
MARIO QUINTANA,Rua RONALDO MOLINA DE QUADROS,3,3475
MARIO QUINTANA,Rua SEIS DE NOVEMBRO,26,2732
MARIO QUINTANA,Rua SILVINO NEDEL,5,4478
MARIO QUINTANA,Rua TRES MIL OITOCENTOS,32,1969
MARIO QUINTANA,Rua VERDES CAMPOS,16,3775
MARIO QUINTANA,Rua VICENZA,8,2470
MARIO QUINTANA,Rua VICTOR OSORIO MARONA,4,4714
MARIO QUINTANA,Rua VINTE SEIS DE MARCO,66,3275
MARIO QUINTANA,Rua WALTER PORTO FILHO,12,4008
MARIO QUINTANA,Rua WILMA PERPETUO,8,3550
MEDIANEIRA,Avenida CEL GASTAO HASLOCHER MAZERON,23,3779
MEDIANEIRA,Avenida DR CARLOS BARBOSA,28,3562
MEDIANEIRA,Avenida GEN GOMES CARNEIRO,22,3836
MEDIANEIRA,Avenida NITEROI,28,3117
MEDIANEIRA,Avenida PROF OSCAR PEREIRA,45,7990
MEDIANEIRA,Avenida SILVA PAES,8,3945
MEDIANEIRA,Rua AGUAS MORTAS,9,2044
MEDIANEIRA,Rua CAIEIRA,4,1846
MEDIANEIRA,Rua CALDRE E FIAO,3,1745
MEDIANEIRA,Rua CATAO COELHO,12,3303
MEDIANEIRA,Rua CATUMBI,3,3622
MEDIANEIRA,Rua CEL NEVES,10,2304
MEDIANEIRA,Rua CEZIMBRA JAQUES,4,3329
MEDIANEIRA,Rua CUIABA,6,3529
MEDIANEIRA,Rua DE SOUZA JUNIOR,3,1978
MEDIANEIRA,Rua DR AURELIO PY,3,3419
MEDIANEIRA,Rua DR DIAS DA CRUZ,6,3158
MEDIANEIRA,Rua EURICO LARA,101,3616
MEDIANEIRA,Rua FONSECA GUIMARAES,3,2914
MEDIANEIRA,Rua FONSECA RAMOS,16,4932
MEDIANEIRA,Rua JOSE DE ALENCAR,82,8178
MEDIANEIRA,Rua LINDOLFO COLOR,5,3443
MEDIANEIRA,Rua MARIANO DE MATOS,87,4908
MEDIANEIRA,Rua NUNES,30,3116
MEDIANEIRA,Rua OSCAR SCHNEIDER,39,3377
MEDIANEIRA,Rua SAUDAVEL,3,2842
MEDIANEIRA,Rua TEIXEIRA DE CARVALHO,11,4419
MEDIANEIRA,Rua TIJUCA,6,4151
MEDIANEIRA,Travessa ALFREDO COSTA,5,4315
MEDIANEIRA,Travessa DR MARCHAND,7,3782
MEDIANEIRA,Travessa IGAI,3,2932
MEDIANEIRA,Travessa LUCAS DE LIMA,3,2553
MEDIANEIRA,Travessa MIGUEL PEREIRA,4,3448
MENINO DEUS,Avenida AURELIANO DE FIGUEIREDO PINTO,11,4098
MENINO DEUS,Avenida BASTIAN,45,4690
MENINO DEUS,Avenida ERICO VERISSIMO,69,5146
MENINO DEUS,Avenida GANZO,64,5415
MENINO DEUS,Avenida GETULIO VARGAS,278,4722
MENINO DEUS,Avenida IPIRANGA,38,4188
MENINO DEUS,Avenida PADRE CACIQUE,39,5122
MENINO DEUS,Avenida PRAIA DE BELAS,207,12990
MENINO DEUS,PCA MENINO DEUS,9,4564
MENINO DEUS,Pra̤a MENINO DEUS,14,5092
MENINO DEUS,Rua ADRIANO RIBEIRO,6,5471
MENINO DEUS,Rua ALMIRANTE ALVARO A DA MOTTA E SILVA,6,7553
MENINO DEUS,Rua ALMIRANTE GONCALVES,115,11595
MENINO DEUS,Rua ANTENOR LEMOS,4,3882
MENINO DEUS,Rua AUGUSTO MELECCHI,17,4162
MENINO DEUS,Rua BARAO DE TEFFE,32,4557
MENINO DEUS,Rua BARAO DO CERRO LARGO,21,6849
MENINO DEUS,Rua BARAO DO GRAVATAI,69,5595
MENINO DEUS,Rua BARAO DO GUAIBA,27,6981
MENINO DEUS,Rua BARAO DO TRIUNFO,55,4684
MENINO DEUS,Rua BARBEDO,55,4165
MENINO DEUS,Rua BARONEZA DO GRAVATAI,15,4251
MENINO DEUS,Rua BECK,6,7571
MENINO DEUS,Rua BOTAFOGO,134,5175
MENINO DEUS,Rua CEL ANDRE BELO,74,6195
MENINO DEUS,Rua CICERO AHRENDS,20,4624
MENINO DEUS,Rua COMENDADOR RODOLFO GOMES,49,6105
MENINO DEUS,Rua CORREA LIMA,11,6696
MENINO DEUS,Rua COSTA,95,9350
MENINO DEUS,Rua DEZESSETE DE JUNHO,55,4995
MENINO DEUS,Rua DONA AUGUSTA,101,9477
MENINO DEUS,Rua DONA GABRIELA,13,5813
MENINO DEUS,Rua DONA ONDINA,17,7311
MENINO DEUS,Rua DR OSCAR BITTENCOURT,98,8853
MENINO DEUS,Rua GEN CALDWELL,47,4706
MENINO DEUS,Rua GONCALVES DIAS,180,7210
MENINO DEUS,Rua GRAO PARA,19,4684
MENINO DEUS,Rua HUGO RIBEIRO,18,7126
MENINO DEUS,Rua ITORORO,41,7585
MENINO DEUS,Rua JOSE DE ALENCAR,113,6110
MENINO DEUS,Rua JOSE FRANCISCO DUARTE JUNIOR,21,4928
MENINO DEUS,Rua MARCILIO DIAS,127,4412
MENINO DEUS,Rua MIGUEL COUTO,44,8626
MENINO DEUS,Rua MUCIO TEIXEIRA,108,5439
MENINO DEUS,Rua PAES DE ANDRADE,4,4666
MENINO DEUS,Rua PERI MACHADO,17,4868
MENINO DEUS,Rua RAFAEL SAADI,14,5365
MENINO DEUS,Rua RIBEIRO CANCELA,18,5345
MENINO DEUS,Rua SALDANHA MARINHO,67,6726
MENINO DEUS,Rua SILVEIRO,44,5243
MENINO DEUS,Rua URUGUAIANA,22,6820
MENINO DEUS,Rua VICENTE LOPES DOS SANTOS,6,4141
MENINO DEUS,Rua VISCONDE DO HERVAL,68,4876
MENINO DEUS,Travessa DIRCEU,22,9031
MENINO DEUS,Travessa LA SALLE,3,4550
MENINO DEUS,Travessa PESQUEIRO,15,5212
MOINHOS VENTO,Avenida CRISTOVAO COLOMBO,74,4037
MOINHOS VENTO,Avenida MERCEDES,9,4357
MOINHOS VENTO,PCA DR MAURICIO CARDOSO,7,7855
MOINHOS VENTO,PCA JULIO DE CASTILHOS,8,4871
MOINHOS VENTO,Pra̤a DR MAURICIO CARDOSO,9,8206
MOINHOS VENTO,Pra̤a JULIO DE CASTILHOS,11,4384
MOINHOS VENTO,Rua BARAO DE SANTO ANGELO,31,9522
MOINHOS VENTO,Rua CANDIDO BATISTA DE OLIVEIRA,4,17556
MOINHOS VENTO,Rua CEL BORDINI,115,8053
MOINHOS VENTO,Rua COMENDADOR CAMINHA,21,10050
MOINHOS VENTO,Rua DINARTE RIBEIRO,13,4574
MOINHOS VENTO,Rua DR FLORENCIO YGARTUA,18,8213
MOINHOS VENTO,Rua DR POTY MEDEIROS,3,7433
MOINHOS VENTO,Rua DR TIMOTEO,79,5996
MOINHOS VENTO,Rua DR VALE,32,4860
MOINHOS VENTO,Rua ENG ALVARO NUNES PEREIRA,21,10235
MOINHOS VENTO,Rua ENG SALDANHA,5,4862
MOINHOS VENTO,Rua EUDORO BERLINK,8,10784
MOINHOS VENTO,Rua FELIX DA CUNHA,58,6234
MOINHOS VENTO,Rua FERNANDO GOMES,3,7516
MOINHOS VENTO,Rua GEN NETO,53,3983
MOINHOS VENTO,Rua HILARIO RIBEIRO,26,6553
MOINHOS VENTO,Rua JARDIM CRISTOFEL,18,6901
MOINHOS VENTO,Rua LUCIANA DE ABREU,41,18654
MOINHOS VENTO,Rua MARIANTE,18,10419
MOINHOS VENTO,Rua MARQUES DO HERVAL,43,8417
MOINHOS VENTO,Rua MARQUES DO POMBAL,49,6543
MOINHOS VENTO,Rua MIGUEL TOSTES,8,7741
MOINHOS VENTO,Rua MOSTARDEIRO,31,14055
MOINHOS VENTO,Rua OLAVO BARRETO VIANA,17,6015
MOINHOS VENTO,Rua PADRE CHAGAS,37,8994
MOINHOS VENTO,Rua QUINTINO BOCAIUVA,100,6632
MOINHOS VENTO,Rua RAMIRO BARCELOS,14,4356
MOINHOS VENTO,Rua SANTO INACIO,78,9264
MOINHOS VENTO,Rua TEN CEL FABRICIO PILAR,3,8864
MOINHOS VENTO,Rua TIRADENTES,11,3946
MOINHOS VENTO,Rua TOBIAS DA SILVA,44,16399
MOINHOS VENTO,Rua VINTE QUATRO DE OUTUBRO,122,6186
MOINHOS VENTO,Rua VISCONDE DO RIO BRANCO,4,4294
MOINHOS VENTO,Travessa ANGUSTURA,6,4558
MOINHOS VENTO,Travessa CARMEM,108,10698
MONT SERRAT,Avenida CARLOS GOMES,28,5116
MONT SERRAT,Avenida CEL LUCAS DE OLIVEIRA,50,6194
MONT SERRAT,Avenida MARILAND,87,7194
MONT SERRAT,Rua ANITA GARIBALDI,135,6276
MONT SERRAT,Rua ANTONIO PARREIRAS,15,9062
MONT SERRAT,Rua ARTUR ROCHA,138,10774
MONT SERRAT,Rua CAMPOS SALES,12,11155
MONT SERRAT,Rua CARLOS TREIN FILHO,59,6180
MONT SERRAT,Rua CEL BORDINI,46,6783
MONT SERRAT,Rua COMENDADOR RHEINGANTZ,43,9046
MONT SERRAT,Rua DR FREIRE ALEMAO,124,8731
MONT SERRAT,Rua EUDORO BERLINK,50,7229
MONT SERRAT,Rua FARNESE,19,19379
MONT SERRAT,Rua FURRIEL LUIZ ANTONIO DE VARGAS,14,7117
MONT SERRAT,Rua PEDRO CHAVES BARCELOS,76,9694
MONT SERRAT,Rua PEDRO IVO,64,7975
MONT SERRAT,Rua RONALD DE CARVALHO,13,7671
MONT SERRAT,Rua SILVA JARDIM,205,11909
MONT SERRAT,Rua TEN CEL FABRICIO PILAR,212,13068
MONT SERRAT,Rua TITO LIVIO ZAMBECARI,106,9398
