bairro,logradouro,n_transacoes,rs_m2_mediana
BOM JESUS,Rua NAZARETH,4,8846
BOM JESUS,Rua PATAGONIA,10,2877
BOM JESUS,Rua PROF CRISTIANO FISCHER,28,4911
BOM JESUS,Rua PROF PEDRO SANTA HELENA,8,3030
BOM JESUS,Rua PROFESSOR PEDRO SANTA HELENA,3,3281
BOM JESUS,Rua SANTA IZABEL,26,3277
BOM JESUS,Rua SANTO AGOSTINHO,8,3333
BOM JESUS,Rua SAO BENEDITO,12,3830
BOM JESUS,Rua SAO DOMINGOS,5,5677
BOM JESUS,Rua SAO LUCAS,22,3610
BOM JESUS,Rua SAO MARCOS,44,5564
BOM JESUS,Rua SAO MATEUS,53,4800
BOM JESUS,Rua SAO SIMAO,24,5326
BOM JESUS,Rua WALDOMIRO SOUZA,3,3127
BOM JESUS,Travessa ENCRUZILHADA,12,3269
BOM JESUS,Travessa UNIVERSINA ARAUJO NUNES,5,3338
CAMAQUA,Avenida OTTO NIEMEYER,118,4593
CAMAQUA,Rua AFONSO ARINOS,21,3278
CAMAQUA,Rua ALARICO RIBEIRO,3,5125
CAMAQUA,Rua ALVARO GUTERRES,6,3504
CAMAQUA,Rua CAMAQUA,48,3467
CAMAQUA,Rua CEL MASSOT,95,4569
CAMAQUA,Rua DELFINA DA CUNHA,3,2415
CAMAQUA,Rua DR BARCELOS,52,4765
CAMAQUA,Rua DR MARIO TOTTA,41,3522
CAMAQUA,Rua DR PEREIRA NETO,72,3790
CAMAQUA,Rua ERICO CRAMER,4,3762
CAMAQUA,Rua GEN RONDON,21,3808
CAMAQUA,Rua JOAO MORA,28,3072
CAMAQUA,Rua JOSE DOMINGOS VARELLA,54,3464
CAMAQUA,Rua LANDEL DE MOURA,27,3015
CAMAQUA,Rua LIBERAL,3,3043
CAMAQUA,Rua MARECHAL HERMES,14,3708
CAMAQUA,Rua PADRE JOAO BATISTA REUS,20,3735
CAMAQUA,Rua PROF JOAQUIM LOUZADA,6,3761
CAMAQUA,Rua SILVIO SILVEIRA SOARES,11,6645
CAMAQUA,Rua TEOTONIA,65,5342
CAMAQUA,Rua VICTOR SILVA,39,3377
CAMAQUA,Travessa ESCOBAR,273,3317
CAMPO NOVO,Estrada CRISTIANO KRAEMER,350,3996
CAMPO NOVO,Estrada JORGE PEREIRA NUNES,19,2696
CAMPO NOVO,Rua ANNA MARIA BIAZETTO,3,2574
CAMPO NOVO,Rua TOME ANTONIO DE SOUZA,1252,4653
CASCATA,Avenida PROF OSCAR PEREIRA,159,8128
CASCATA,Rua DAS ENFERMEIRAS,51,4632
CAVALHADA,Avenida DA  CAVALHADA,285,4042
CAVALHADA,Avenida EDUARDO PRADO,55,3772
CAVALHADA,Avenida FAMILIA GONCALVES CARNEIRO,258,3980
CAVALHADA,Avenida FIRMINO OCTAVIO BIMBI,13,4404
CAVALHADA,Avenida NELSON PULGATTI MOREIRA,27,2756
CAVALHADA,Avenida OTTO NIEMEYER,22,3218
CAVALHADA,Avenida PAULO PONTES,3,2595
CAVALHADA,Avenida VICENTE MONTEGGIA,4,3276
CAVALHADA,Estrada JOAO VEDANA,3,2725
CAVALHADA,Estrada VILA MARIA,11,3062
CAVALHADA,PCA ARATIBA,4,5093
CAVALHADA,Pra̤a ARATIBA,5,4444
CAVALHADA,Rua ADROALDO NOVO CORREA,4,3356
CAVALHADA,Rua AFONSO ARINOS,4,3995
CAVALHADA,Rua ARROIO GRANDE,3,4040
CAVALHADA,Rua ATILIO SUPERTTI,178,3731
CAVALHADA,Rua CEL DEUSDEDIT PAIVA BUENO,10,4985
CAVALHADA,Rua CEL HILARIO PEREIRA FORTES,12,2673
CAVALHADA,Rua CEL MASSOT,64,3372
CAVALHADA,Rua CEL TIMOTEO,9,3405
CAVALHADA,Rua DEPUTADO CUNHA BUENO,52,2444
CAVALHADA,Rua DONA ZULMIRA,30,3454
CAVALHADA,Rua DR BARCELOS,33,3542
CAVALHADA,Rua DR CAMPOS VELHO,36,3540
CAVALHADA,Rua DR EGYDIO MICHAELSEN,4,2880
CAVALHADA,Rua DR JULIO TEIXEIRA,68,2048
CAVALHADA,Rua DR MARIO TOTTA,18,3688
CAVALHADA,Rua DR PEREIRA NETO,29,3081
CAVALHADA,Rua ESTEIO,4,2825
CAVALHADA,Rua EURIPEDES MONTEIRO DUARTE,14,3722
CAVALHADA,Rua EVANGELISTA FRANCISCO DA SILVA,3,1801
CAVALHADA,Rua FLORINHA,5,2505
CAVALHADA,Rua GAURAMA,7,3786
CAVALHADA,Rua GORKI,9,4177
CAVALHADA,Rua GRAMADO,3,3939
CAVALHADA,Rua IBIRUBA,5,2846
CAVALHADA,Rua JOSE DOMINGOS VARELLA,10,3558
CAVALHADA,Rua LANDEL DE MOURA,3,1875
CAVALHADA,Rua PADRE ANGELO CORSO,186,3457
CAVALHADA,Rua PADRE JOAO BATISTA REUS,42,3267
CAVALHADA,Rua PANAMBI,3,3181
CAVALHADA,Rua PAULO MACIEL,16,2015
CAVALHADA,Rua PEDRO RODRIGUES BITENCOURT,79,2821
CAVALHADA,Rua ROMEU DE VASCONCELLOS ROSA,12,2464
CAVALHADA,Rua SANTA FLORA,8,4027
CAVALHADA,Rua SILVIO SILVEIRA SOARES,182,6272
CAVALHADA,Rua STEPHAN ZWEIG,11,3678
CAVALHADA,Rua VINTE UM DE AGOSTO,4,5830
CAVALHADA,Rua WILSON ADNISLEN FREITAS DE PAIVA,30,5038
CAVALHADA,Rua WILSON ADNISLEN FREITAS PAIVA BUENO,16,4649
CAVALHADA,Rua XAVIER DA CUNHA,48,4651
CEL AP BORGES,Avenida OUTEIRO,3,3150
CEL AP BORGES,Avenida VEIGA,8,4458
CEL AP BORGES,Rua CEL JOSE RODRIGUES SOBRAL,36,3357
CEL AP BORGES,Rua INTENDENTE ALFREDO AZEVEDO,6,2502
CEL AP BORGES,Rua QUERUBIM COSTA,5,3367
CEL AP BORGES,Rua SAO MIGUEL,13,3516
CENTRO HISTORIC,Avenida ALBERTO BINS,41,3511
CENTRO HISTORIC,Avenida BORGES DE MEDEIROS,177,4191
CENTRO HISTORIC,Avenida DES ANDRE DA ROCHA,82,4064
CENTRO HISTORIC,Avenida INDEPENDENCIA,60,4953
CENTRO HISTORIC,Avenida JOAO PESSOA,69,4765
